id,name,age,salary,department,join_date,bonus,performance_score
1.0,Alice,25,50000,HR,2021-01-15,5000.0,1.0
2.0,Bob,33,60000,Engineering,2020-06-20,6000.0,1.0
3.0,Charlie,35,59000,Engineering,2019-03-10,5900.0,5.0
4.0,David,29,55000,unknown,2022-08-01,5500.0,5.0
5.0,Eva,33,48000,HR,2022-08-01,4800.0,3.0
7.0,Frank,28,52000,Engineering,2021-09-12,5200.0,5.0
8.0,Grace,33,58000,HR,2020-02-18,5800.0,4.0
9.0,Hannah,31,59000,Marketing,2019-07-25,5900.0,5.0
10.0,Ian,45,80000,Finance,2019-07-25,8000.0,4.0
11.0,Jack,27,48000,unknown,2021-11-05,4800.0,2.0
12.0,Karen,34,62000,Engineering,2018-04-14,6200.0,2.0
13.0,liam,33,54000,HR,2022-01-09,5400.0,5.0
14.0,Mia,26,59000,Marketing,2020-05-21,5900.0,1.0
15.0,Noah,38,72000,Finance,2017-10-30,7200.0,3.0
16.0,Olivia,33,51000,HR,2021-03-17,5100.0,5.0
17.0,Paul,41,69000,unknown,2016-08-19,6900.0,2.0
18.0,Quinn,33,59000,Engineering,2019-12-01,5900.0,1.0
19.0,Rachel,29,56000,Marketing,2022-06-11,5600.0,4.0
20.0,Steve,33,75000,Finance,2022-06-11,7500.0,5.0
21.0,Tina,24,47000,HR,2021-07-07,4700.0,5.0
22.0,Uma,36,59000,Engineering,2018-09-23,5900.0,1.0
23.0,Victor,39,68000,unknown,2017-02-14,6800.0,3.0
24.0,Wendy,33,59000,Marketing,2020-10-05,5900.0,4.0
25.0,Xavier,42,81000,Finance,2016-11-11,8100.0,5.0
26.0,Yara,27,59000,HR,2022-04-03,5900.0,4.0
27.0,Zack,31,61000,Engineering,2022-04-03,6100.0,5.0
28.0,Anna,35,64000,Marketing,2019-06-06,6400.0,4.0
29.0,Brian,33,58000,HR,2020-01-01,5800.0,5.0
30.0,Cathy,28,59000,Engineering,2021-08-15,5900.0,4.0
31.0,Derek,44,77000,Finance,2015-12-20,7700.0,2.0
32.0,Elena,33,53000,Marketing,2020-03-08,5300.0,1.0
33.0,Felix,37,59000,Engineering,2018-07-27,5900.0,2.0
34.0,Gina,26,49000,HR,2022-09-01,4900.0,1.0
35.0,Harry,40,71000,unknown,2017-05-13,7100.0,3.0
36.0,Irene,32,59000,Marketing,2017-05-13,5900.0,3.0
37.0,Jason,29,56000,Engineering,2021-04-22,5600.0,1.0
38.0,Kelly,33,52000,HR,2019-11-09,5200.0,4.0
39.0,Leo,34,59000,Finance,2018-01-30,5900.0,2.0
40.0,Mona,25,47000,unknown,2022-02-14,4700.0,2.0
41.0,Nate,33,66000,Engineering,2020-06-06,6600.0,4.0
42.0,Opal,38,59000,HR,2017-09-19,5900.0,1.0
43.0,Peter,45,82000,Finance,2016-04-25,8200.0,4.0
44.0,Queen,27,50000,Marketing,2016-04-25,5000.0,3.0
45.0,Ron,36,59000,Engineering,2019-08-18,5900.0,5.0
46.0,Sara,31,59000,unknown,2021-12-01,5900.0,3.0
47.0,Tom,33,61000,Engineering,2020-10-10,6100.0,3.0
48.0,Ursula,28,59000,HR,2022-05-05,5900.0,3.0
49.0,Vincent,41,76000,Finance,2022-05-05,7600.0,5.0
50.0,Willow,33,63000,Marketing,2018-06-16,6300.0,3.0
51.0,Xena,33,54000,HR,2019-03-03,5400.0,2.0
52.0,Yusuf,39,59000,Engineering,2017-07-07,5900.0,4.0
53.0,Zara,24,46000,unknown,2022-11-11,4600.0,2.0
54.0,Adam,35,65000,Finance,2016-02-02,6500.0,2.0
55.0,Bella,29,59000,Marketing,2020-09-09,5900.0,2.0
56.0,Carl,33,70000,Engineering,2020-09-09,7000.0,1.0
57.0,Daisy,26,48000,HR,2021-01-01,4800.0,4.0
58.0,Ethan,33,72000,Finance,2018-08-08,7200.0,5.0
59.0,Fiona,34,59000,Marketing,2019-04-04,5900.0,3.0
60.0,George,43,79000,unknown,2015-05-05,7900.0,5.0
,Aakriti,20,10000000,,,,
,Aakriti,20,10000000,,,,
